Image,Class,Method,Deletion AUC,Insertion AUC
74,churros,Score-CAM,0.2322167529910803,0.8469589355029165
74,churros,Ablation-CAM,0.2432195569481701,0.8389702667016535
75,churros,Grad-CAM,0.18377741495613006,0.9241195771656932
75,churros,Grad-CAM++,0.2022179789887741,0.9126934059383348
75,churros,Score-CAM,0.1738222518702969,0.9273229331336916
75,churros,Ablation-CAM,0.18141247264109553,0.9191932950355113
76,churros,Grad-CAM,0.40786055949050937,0.9124873034190385
76,churros,Grad-CAM++,0.4040047926688567,0.911196660073474
76,churros,Score-CAM,0.40621266380418086,0.9184734523575753
76,churros,Ablation-CAM,0.4035439558047801,0.9205347816087305
77,churros,Grad-CAM,0.1858429423486814,0.7902408660110087
77,churros,Grad-CAM++,0.22766670447308573,0.7629341587424278
77,churros,Score-CAM,0.14993109271395952,0.8215936641767622
77,churros,Ablation-CAM,0.2464498605439439,0.7765712129790335
78,churros,Grad-CAM,0.22588077417574823,0.9025986237451434
78,churros,Grad-CAM++,0.23234739830717444,0.8923448679689318
78,churros,Score-CAM,0.20210253407247364,0.9233892203122377
78,churros,Ablation-CAM,0.22346254892647266,0.898020388763398
79,churros,Grad-CAM,0.09765109882690011,0.5749805914075115
79,churros,Grad-CAM++,0.09939233721699567,0.5570863648178056
79,churros,Score-CAM,0.09252448474988341,0.5623272449010984
79,churros,Ablation-CAM,0.09887223319616169,0.5682782563543879
80,churros,Grad-CAM,0.012763794347411022,0.6409360647480935
80,churros,Grad-CAM++,0.029720227695070208,0.362006138022989
80,churros,Score-CAM,0.01784754170104861,0.5066545104980469
80,churros,Ablation-CAM,0.707128714332357,0.004059242465591524
81,churros,Grad-CAM,0.05712682480807416,0.901175491241738
81,churros,Grad-CAM++,0.058378615803085274,0.8928793467860668
81,churros,Score-CAM,0.054629495916888114,0.8993341130856425
81,churros,Ablation-CAM,0.05683923628646881,0.8929774567391723
82,churros,Grad-CAM,0.18420402221381665,0.895023755133152
82,churros,Grad-CAM++,0.19962940408848226,0.8873974423389882
82,churros,Score-CAM,0.1622929852036759,0.8851849847938865
82,churros,Ablation-CAM,0.19870173095259816,0.8907581645064055
83,churros,Grad-CAM,0.1836496723350137,0.8860381540004163
83,churros,Grad-CAM++,0.19117355219088497,0.7940621453430504
83,churros,Score-CAM,0.19302632443141188,0.8184678367711602
83,churros,Ablation-CAM,0.17421061225235465,0.8095425246004013
84,churros,Grad-CAM,0.4136413205601275,0.8251629812363535
84,churros,Grad-CAM++,0.4149145186599344,0.8194260939769448
84,churros,Score-CAM,0.4135677359160036,0.8024329133797438
84,churros,Ablation-CAM,0.417477571675554,0.8099484131950884
85,churros,Grad-CAM,0.30062106670346117,0.9275400861911475
85,churros,Grad-CAM++,0.28713294795714317,0.9266364655829967
85,churros,Score-CAM,0.32061715992633255,0.9215228587854652
85,churros,Ablation-CAM,0.316435077516362,0.9277361921593548
86,churros,Grad-CAM,0.12244330253917723,0.7332364915031939
86,churros,Grad-CAM++,0.10671171876601873,0.7341988279204816
86,churros,Score-CAM,0.10762856313958763,0.7330806431453675
86,churros,Ablation-CAM,0.11375641969032588,0.7538515193108467
87,churros,Grad-CAM,0.4151656031422317,0.9388081748690456
87,churros,Grad-CAM++,0.47324371469207105,0.943284834213555
87,churros,Score-CAM,0.3858030591998249,0.9486745695024729
87,churros,Ablation-CAM,0.4066340171266347,0.9468515123426915
88,churros,Grad-CAM,0.4296396622899919,0.8957998768612744
